total_transactions,unique_counterparties,incoming_count,outgoing_count,incoming_outgoing_ratio,total_volume,degree_centrality,label
3,3,2,1,1.0,0.01,1.0,0
442,442,440,2,146.66666666666666,16.69088006946791,1.0,1
1,1,0,1,0.0,0.0,1.0,0
1,1,0,1,0.0,1e-09,1.0,0
8,8,0,8,0.0,1.5828262906063e-05,1.0,0
8,8,0,8,0.0,6e-09,1.0,0
26,23,17,9,1.7,0.23783009725847487,1.1304347826086956,0
1,1,0,1,0.0,0.0,1.0,0
81,81,81,0,81.0,8.202216590860031,1.0,1
66,66,66,0,66.0,8.062925904693008,1.0,0
289,289,222,67,3.264705882352941,0.901003513563677,1.0,0
308,308,304,4,60.8,77.24331037793553,1.0,1
7,7,4,3,1.0,0.48561151,1.0,0
1,1,0,1,0.0,0.08,1.0,0
319,319,6,313,0.01910828025477707,3.1276696231728187,1.0,0
4,4,2,2,0.6666666666666666,0.00207359358135092,1.0,0
2,2,0,2,0.0,0.0,1.0,0
1,1,1,0,1.0,0.000234475456729056,1.0,0
1,1,0,1,0.0,1e-09,1.0,0
1,1,0,1,0.0,1e-09,1.0,0
2,2,0,2,0.0,0.002,1.0,0
4,4,2,2,0.6666666666666666,0.0320702073084039,1.0,0
239,239,239,0,239.0,0.0,0.9999999999999999,1
8,8,6,2,2.0,0.08045849101,1.0,0
1,1,0,1,0.0,2.4523649e-11,1.0,0
1,1,0,1,0.0,0.0,1.0,0
250,250,0,250,0.0,0.0043438698062699425,1.0,0
6,6,2,4,0.4,0.0,1.0,0
25,24,21,4,4.2,0.2307020910365603,1.0416666666666665,0
235,235,235,0,235.0,0.0,1.0,1
1,1,0,1,0.0,6.278096639e-09,1.0,0
88,88,88,0,88.0,0.0,1.0,1
199,199,67,132,0.5037593984962406,162.717042988519,1.0,1
91,89,82,9,8.2,654.7350359187822,1.0224719101123596,1
14,14,14,0,14.0,0.0,1.0,0
329,329,285,44,6.333333333333333,75.7295309284368,1.0,1
1,1,0,1,0.0,0.0,1.0,0
12,12,9,3,2.25,12.899041110999999,1.0,0
1,1,0,1,0.0,0.0,1.0,0
285,285,42,243,0.1721311475409836,14.024790350386821,1.0,0
78,78,66,12,5.076923076923077,19.0859457935912,1.0,0
1,1,0,1,0.0,0.0,1.0,0
3,3,2,1,1.0,0.16980223294853086,1.0,0
4,4,1,3,0.25,0.16557450698095302,1.0,0
12,12,0,12,0.0,9.000000000000001e-09,1.0,0
2,2,1,1,0.5,0.004331115370383673,1.0,0
5,5,4,1,2.0,1.851169296204888,1.0,0
462,460,260,202,1.2807881773399015,2567.4422597113867,1.0043478260869565,1
1,1,1,0,1.0,0.01,1.0,0
1,1,0,1,0.0,1e-09,1.0,0
1,1,0,1,0.0,1e-09,1.0,0
4,4,1,3,0.25,0.021982506980953,1.0,0
2,2,0,2,0.0,0.0,1.0,0
143,143,143,0,143.0,0.0,1.0,1
1,1,0,1,0.0,1e-09,1.0,0
3,3,1,2,0.3333333333333333,0.0023877000000000004,1.0,0
40,40,32,8,3.5555555555555554,6.342928880189087,1.0,0
4,4,0,4,0.0,1.128826728799e-06,1.0,0
6,6,6,0,6.0,0.0,1.0,0
136,136,135,1,67.5,1.0412428828737993e-05,1.0,0
4,4,3,1,1.5,0.001808456542824609,1.0,0
294,294,294,0,294.0,0.0,1.0,1
1,1,0,1,0.0,2.4525917e-11,1.0,0
38,38,29,9,2.9,4.388602460110615,1.0,0
387,387,25,362,0.06887052341597796,14.652887008131888,1.0,0
2,2,1,1,0.5,0.0021460177923588617,1.0,0
2,2,0,2,0.0,0.0,1.0,0
36,35,16,20,0.7619047619047619,0.6217133076029119,1.0588235294117647,0
182,182,89,93,0.9468085106382979,2584.6465850565464,1.0,1
2,2,2,0,2.0,0.0,1.0,0
1,1,0,1,0.0,1e-08,1.0,0
16,16,16,0,16.0,0.0,1.0,0
4,4,4,0,4.0,0.0,1.0,0
403,401,130,273,0.4744525547445255,41.60151230931453,1.0049875311720697,1
4,4,0,4,0.0,4e-09,1.0,0
1,1,0,1,0.0,0.0,1.0,0
415,330,328,87,3.727272727272727,0.5030939310778937,1.2575757575757576,0
68,68,68,0,68.0,1.2449326206858835,1.0,0
44,41,12,32,0.36363636363636365,1.7619872180037794,1.0731707317073171,0
2,2,0,2,0.0,0.0,1.0,0
1,1,0,1,0.0,0.0,1.0,0
4,4,1,3,0.25,6.000242450180766,1.0,0
3,3,2,1,1.0,4.2e-05,1.0,0
2,2,1,1,0.5,0.001982045826639142,1.0,0
100,95,31,69,0.44285714285714284,3.805339316302943,1.0638297872340425,0
3,3,0,3,0.0,2e-09,1.0,0
17,17,13,4,2.6,1.745152926251484,1.0,0
164,164,135,29,4.5,10.70837821195817,1.0,0
39,39,39,0,39.0,0.0,1.0,0
1,1,0,1,0.0,1e-09,1.0,0
37,37,2,35,0.05555555555555555,0.6329519625947168,1.0,0
2,2,1,1,0.5,3.1876606411518e-05,1.0,0
1,1,1,0,1.0,0.0,1.0,0
6,6,5,1,2.5,0.0030000020100000003,1.0,0
30,29,13,17,0.7222222222222222,4.956679375760347,1.0344827586206897,0
6,6,5,1,2.5,3.2e-08,1.0,0
2,2,1,1,0.5,0.20829826431529824,1.0,0
229,229,227,2,75.66666666666667,0.2890123215581591,1.0,1
21,20,10,11,0.8333333333333334,0.1888669868455368,1.05,0
1,1,1,0,1.0,0.001203625430560478,1.0,0
1,1,0,1,0.0,0.0,1.0,0
5,5,4,1,2.0,0.32214982,1.0,0
18,18,14,4,2.8,167.68480095101998,1.0,1
166,166,166,0,166.0,0.0,1.0,1
3,3,0,3,0.0,1e-18,1.0,0
401,399,105,296,0.35353535353535354,5.672090344221997,1.0050125313283207,0
46,45,10,36,0.2702702702702703,4.020297755457575,1.0222222222222224,0
4,4,2,2,0.6666666666666666,5.8345719525e-06,1.0,0
7,7,7,0,7.0,0.005893036752024284,1.0,0
1,1,0,1,0.0,1e-09,1.0,0
1,1,0,1,0.0,2.4521598e-11,1.0,0
99,96,14,85,0.16279069767441862,5.725873735913316,1.0421052631578946,0
2,2,0,2,0.0,0.0,1.0,0
1,1,1,0,1.0,0.002673642455868896,1.0,0
9,9,3,6,0.42857142857142855,0.309285137885178,1.0,0
308,308,308,0,308.0,0.0,1.0,1
159,159,159,0,159.0,0.0,1.0,1
305,305,212,93,2.25531914893617,34.243292924133414,1.0,0
1,1,0,1,0.0,0.0,1.0,0
287,287,287,0,287.0,21.221766150501455,1.0,1
22,19,4,18,0.21052631578947367,0.022425075898225455,1.222222222222222,0
1,1,0,1,0.0,3.6496576915e-08,1.0,0
2,2,1,1,0.5,0.004317465413551274,1.0,0
2,2,1,1,0.5,0.23412009,1.0,0
1,1,0,1,0.0,0.0,1.0,0
3,3,0,3,0.0,3.404856105517e-06,1.0,0
2,2,1,1,0.5,2.32038788e-05,1.0,0
237,237,7,230,0.030303030303030304,2.5077733475518262,0.9999999999999999,0
2,2,1,1,0.5,0.006891375701726,1.0,0
40,40,40,0,40.0,0.0,1.0,0
90,83,8,82,0.0963855421686747,1.871922392908166,1.0843373493975905,0
3,3,2,1,1.0,0.001789868568189984,1.0,0
388,388,388,0,388.0,40.07526697022541,1.0,1
362,361,172,190,0.900523560209424,162.8130507631031,1.002770083102493,1
8,8,5,3,1.25,1.9588,1.0,0
61,60,31,30,1.0,33.90063782110413,1.0338983050847457,0
1,1,1,0,1.0,1e-18,1.0,0
16,16,0,16,0.0,0.0,1.0,0
94,94,32,62,0.5079365079365079,53.26867596263364,1.0,1
384,384,384,0,384.0,0.0,1.0,1
3,2,1,2,0.3333333333333333,0.00027790299999999997,1.5,0
1,1,0,1,0.0,0.0,1.0,0
